Abbreviation	Title	Full Title	Contains	HTML
H	The Hobbit	The Annotated Hobbit		"<a href=""http://www.amazon.com/gp/product/0618134700?ie=UTF8&tag=middlearthm0f-20&linkCode=as2&camp=1789&creative=390957&creativeASIN=0618134700"">H</a><img src=""http://www.assoc-amazon.com/e/ir?t=middlearthm0f-20&l=as2&o=1&a=0618134700"" width=""1"" height=""1"" border=""0"" alt="""" style=""border:none !important; margin:0px !important;"" />"
LR	The Lord of the Rings	"The Lord of the Rings: 50th Anniversary, One Vol. Edition"	"FR, TT, RK"	"<a href=""http://www.amazon.com/gp/product/0618640150?ie=UTF8&tag=middlearthm0f-20&linkCode=as2&camp=1789&creative=390957&creativeASIN=0618640150"">LR</a><img src=""http://www.assoc-amazon.com/e/ir?t=middlearthm0f-20&l=as2&o=1&a=0618640150"" width=""1"" height=""1"" border=""0"" alt="""" style=""border:none !important; margin:0px !important;"" />"
FR	The Fellowship of the Ring	The Fellowship of the Ring: Being the First Part of The Lord of the Rings		"<a href=""http://www.amazon.com/gp/product/0618574948?ie=UTF8&tag=middlearthm0f-20&linkCode=as2&camp=1789&creative=390957&creativeASIN=0618574948"">FR</a><img src=""http://www.assoc-amazon.com/e/ir?t=middlearthm0f-20&l=as2&o=1&a=0618574948"" width=""1"" height=""1"" border=""0"" alt="""" style=""border:none !important; margin:0px !important;"" />"
TT	The Two Towers	The Two Towers: Being the Second Part of The Lord of the Rings		"<a href=""http://www.amazon.com/gp/product/0618574956?ie=UTF8&tag=middlearthm0f-20&linkCode=as2&camp=1789&creative=390957&creativeASIN=0618574956"">TT</a><img src=""http://www.assoc-amazon.com/e/ir?t=middlearthm0f-20&l=as2&o=1&a=0618574956"" width=""1"" height=""1"" border=""0"" alt="""" style=""border:none !important; margin:0px !important;"" />"
RK	The Return of the King	The Return of the King: Being the Third Part of The Lord of the Rings		"<a href=""http://www.amazon.com/gp/product/0618574972?ie=UTF8&tag=middlearthm0f-20&linkCode=as2&camp=1789&creative=390957&creativeASIN=0618574972"">RK</a><img src=""http://www.assoc-amazon.com/e/ir?t=middlearthm0f-20&l=as2&o=1&a=0618574972"" width=""1"" height=""1"" border=""0"" alt="""" style=""border:none !important; margin:0px !important;"" />"
TR	The Tolkien Reader	The Tolkien Reader	"TB, FG"	"<a href=""http://www.amazon.com/gp/product/0345345061?ie=UTF8&tag=middlearthm0f-20&linkCode=as2&camp=1789&creative=390957&creativeASIN=0345345061"">TR</a><img src=""http://www.assoc-amazon.com/e/ir?t=middlearthm0f-20&l=as2&o=1&a=0345345061"" width=""1"" height=""1"" border=""0"" alt="""" style=""border:none !important; margin:0px !important;"" />"
FG	Farmer Gilles of Ham	Farmer Gilles of Ham		"<a href=""http://www.amazon.com/gp/product/0345345061?ie=UTF8&tag=middlearthm0f-20&linkCode=as2&camp=1789&creative=390957&creativeASIN=0345345061"">FG</a><img src=""http://www.assoc-amazon.com/e/ir?t=middlearthm0f-20&l=as2&o=1&a=0345345061"" width=""1"" height=""1"" border=""0"" alt="""" style=""border:none !important; margin:0px !important;"" />"
TB	The Adventures of Tom Bombadil	The Adventures of Tom Bombadil		"<a href=""http://www.amazon.com/gp/product/0044407262?ie=UTF8&tag=middlearthm0f-20&linkCode=as2&camp=1789&creative=390957&creativeASIN=0044407262"">TB</a><img src=""http://www.assoc-amazon.com/e/ir?t=middlearthm0f-20&l=as2&o=1&a=0044407262"" width=""1"" height=""1"" border=""0"" alt="""" style=""border:none !important; margin:0px !important;"" />"
RC	A Reader's Companion	The Lord of the Rings: A Reader's Companion		"<a href=""http://www.amazon.com/gp/product/0618642676?ie=UTF8&tag=middlearthm0f-20&linkCode=as2&camp=1789&creative=390957&creativeASIN=0618642676"">RC</a><img src=""http://www.assoc-amazon.com/e/ir?t=middlearthm0f-20&l=as2&o=1&a=0618642676"" width=""1"" height=""1"" border=""0"" alt="""" style=""border:none !important; margin:0px !important;"" />"
R	The Road Goes Ever On	The Road Goes Ever On		"<a href=""http://www.amazon.com/gp/product/0007136552?ie=UTF8&tag=middlearthm0f-20&linkCode=as2&camp=1789&creative=390957&creativeASIN=0007136552"">R</a><img src=""http://www.assoc-amazon.com/e/ir?t=middlearthm0f-20&l=as2&o=1&a=0007136552"" width=""1"" height=""1"" border=""0"" alt="""" style=""border:none !important; margin:0px !important;"" />"
S	The Silmarillion	The Silmarillion		"<a href=""http://www.amazon.com/gp/product/0618391118?ie=UTF8&tag=middlearthm0f-20&linkCode=as2&camp=1789&creative=390957&creativeASIN=0618391118"">S</a><img src=""http://www.assoc-amazon.com/e/ir?t=middlearthm0f-20&l=as2&o=1&a=0618391118"" width=""1"" height=""1"" border=""0"" alt="""" style=""border:none !important; margin:0px !important;"" />"
UT	Unfinished Tales	Unfinished Tales of Númenor and Middle-earth		"<a href=""http://www.amazon.com/gp/product/0395324416?ie=UTF8&tag=middlearthm0f-20&linkCode=as2&camp=1789&creative=390957&creativeASIN=0395324416"">UT</a><img src=""http://www.assoc-amazon.com/e/ir?t=middlearthm0f-20&l=as2&o=1&a=0395324416"" width=""1"" height=""1"" border=""0"" alt="""" style=""border:none !important; margin:0px !important;"" />"
L	The Letters of J.R.R. Tolkien	The Letters of J.R.R. Tolkien		"<a href=""http://www.amazon.com/gp/product/0618056998?ie=UTF8&tag=middlearthm0f-20&linkCode=as2&camp=1789&creative=390957&creativeASIN=0618056998"">L</a><img src=""http://www.assoc-amazon.com/e/ir?t=middlearthm0f-20&l=as2&o=1&a=0618056998"" width=""1"" height=""1"" border=""0"" alt="""" style=""border:none !important; margin:0px !important;"" />"
MC	The Monsters and the Critics	The Monsters and the Critics and Other Essays		"<a href=""http://www.amazon.com/gp/product/026110263X?ie=UTF8&tag=middlearthm0f-20&linkCode=as2&camp=1789&creative=390957&creativeASIN=026110263X"">MC</a><img src=""http://www.assoc-amazon.com/e/ir?t=middlearthm0f-20&l=as2&o=1&a=026110263X"" width=""1"" height=""1"" border=""0"" alt="""" style=""border:none !important; margin:0px !important;"" />"
I	"The Book of Lost Tales, Part One"	"The Book of Lost Tales, Part One (The History of Middle-earth, Vol. 1)"	Lex.	"<a href=""http://www.amazon.com/gp/product/0395409276?ie=UTF8&tag=middlearthm0f-20&linkCode=as2&camp=1789&creative=390957&creativeASIN=0395409276"">I</a><img src=""http://www.assoc-amazon.com/e/ir?t=middlearthm0f-20&l=as2&o=1&a=0395409276"" width=""1"" height=""1"" border=""0"" alt="""" style=""border:none !important; margin:0px !important;"" />"
II	"The Book of Lost Tales, Part Two"	"The Book of Lost Tales, Part Two (The History of Middle-earth, Vol. 2)"		"<a href=""http://www.amazon.com/gp/product/0395426405?ie=UTF8&tag=middlearthm0f-20&linkCode=as2&camp=1789&creative=390957&creativeASIN=0395426405"">II</a><img src=""http://www.assoc-amazon.com/e/ir?t=middlearthm0f-20&l=as2&o=1&a=0395426405"" width=""1"" height=""1"" border=""0"" alt="""" style=""border:none !important; margin:0px !important;"" />"
III	 The Lays of Beleriand	"Lays of Beleriand (The History of Middle-earth, Vol. 3)"		"<a href=""http://www.amazon.com/gp/product/0261102265?ie=UTF8&tag=middlearthm0f-20&linkCode=as2&camp=1789&creative=390957&creativeASIN=0261102265"">III</a><img src=""http://www.assoc-amazon.com/e/ir?t=middlearthm0f-20&l=as2&o=1&a=0261102265"" width=""1"" height=""1"" border=""0"" alt="""" style=""border:none !important; margin:0px !important;"" />"
IV	 The Shaping of Middle-earth	"The Shaping of Middle-Earth: The Quenta, the Ambarkanta and the Annals (The History of Middle-earth, Vol. 4)"		"<a href=""http://www.amazon.com/gp/product/0395425018?ie=UTF8&tag=middlearthm0f-20&linkCode=as2&camp=1789&creative=390957&creativeASIN=0395425018"">IV</a><img src=""http://www.assoc-amazon.com/e/ir?t=middlearthm0f-20&l=as2&o=1&a=0395425018"" width=""1"" height=""1"" border=""0"" alt="""" style=""border:none !important; margin:0px !important;"" />"
V	 The Lost Road	"The Lost Road (The History of Middle-earth, Vol. 5)"	Etym.	"<a href=""http://www.amazon.com/gp/product/0261102257?ie=UTF8&tag=middlearthm0f-20&linkCode=as2&camp=1789&creative=390957&creativeASIN=0261102257"">V</a><img src=""http://www.assoc-amazon.com/e/ir?t=middlearthm0f-20&l=as2&o=1&a=0261102257"" width=""1"" height=""1"" border=""0"" alt="""" style=""border:none !important; margin:0px !important;"" />"
VI	 The Return of the Shadow	"The Return of the Shadow: The History of The Lord of the Rings, Part One (The History of Middle-earth, Vol. 6)"		"<a href=""http://www.amazon.com/gp/product/061808357X?ie=UTF8&tag=middlearthm0f-20&linkCode=as2&camp=1789&creative=390957&creativeASIN=061808357X"">VI</a><img src=""http://www.assoc-amazon.com/e/ir?t=middlearthm0f-20&l=as2&o=1&a=061808357X"" width=""1"" height=""1"" border=""0"" alt="""" style=""border:none !important; margin:0px !important;"" />"
VII	 The Treason of Isengard	"Treason of Isengard: The History of The Lord of the Rings, Part Two (The History of Middle-earth, Vol. 7)"		"<a href=""http://www.amazon.com/gp/product/0618083588?ie=UTF8&tag=middlearthm0f-20&linkCode=as2&camp=1789&creative=390957&creativeASIN=0618083588"">VII</a><img src=""http://www.assoc-amazon.com/e/ir?t=middlearthm0f-20&l=as2&o=1&a=0618083588"" width=""1"" height=""1"" border=""0"" alt="""" style=""border:none !important; margin:0px !important;"" />"
VIII	 The War of the Ring	"The War of the Ring: The History of The Lord of the Rings, Part Three (The History of Middle-earth, Vol. 8)"		"<a href=""http://www.amazon.com/gp/product/0618083596?ie=UTF8&tag=middlearthm0f-20&linkCode=as2&camp=1789&creative=390957&creativeASIN=0618083596"">VIII</a><img src=""http://www.assoc-amazon.com/e/ir?t=middlearthm0f-20&l=as2&o=1&a=0618083596"" width=""1"" height=""1"" border=""0"" alt="""" style=""border:none !important; margin:0px !important;"" />"
IX	Sauron Defeated	"Sauron Defeated: The History of The Lord of the Rings, Part Four (The History of Middle-earth, Vol. 9)"		"<a href=""http://www.amazon.com/gp/product/0395606497?ie=UTF8&tag=middlearthm0f-20&linkCode=as2&camp=1789&creative=390957&creativeASIN=0395606497"">IX</a><img src=""http://www.assoc-amazon.com/e/ir?t=middlearthm0f-20&l=as2&o=1&a=0395606497"" width=""1"" height=""1"" border=""0"" alt="""" style=""border:none !important; margin:0px !important;"" />"
X	Morgoth's Ring	"Morgoth's Ring: The Later Silmarillion, Part One (The History of Middle-earth, Vol. 10)"		"<a href=""http://www.amazon.com/gp/product/0395680921?ie=UTF8&tag=middlearthm0f-20&linkCode=as2&camp=1789&creative=390957&creativeASIN=0395680921"">X</a><img src=""http://www.assoc-amazon.com/e/ir?t=middlearthm0f-20&l=as2&o=1&a=0395680921"" width=""1"" height=""1"" border=""0"" alt="""" style=""border:none !important; margin:0px !important;"" />"
XI	The War of the Jewels	"The War of the Jewels: The Later Silmarillion, Part Two (The History of Middle-earth, Vol. 11)"		"<a href=""http://www.amazon.com/gp/product/0395710413?ie=UTF8&tag=middlearthm0f-20&linkCode=as2&camp=1789&creative=390957&creativeASIN=0395710413"">XI</a><img src=""http://www.assoc-amazon.com/e/ir?t=middlearthm0f-20&l=as2&o=1&a=0395710413"" width=""1"" height=""1"" border=""0"" alt="""" style=""border:none !important; margin:0px !important;"" />"
XII	The Peoples of Middle-earth	"The Peoples of Middle-Earth (The History of Middle-earth, Vol. 12)"		"<a href=""http://www.amazon.com/gp/product/0395827604?ie=UTF8&tag=middlearthm0f-20&linkCode=as2&camp=1789&creative=390957&creativeASIN=0395827604"">XII</a><img src=""http://www.assoc-amazon.com/e/ir?t=middlearthm0f-20&l=as2&o=1&a=0395827604"" width=""1"" height=""1"" border=""0"" alt="""" style=""border:none !important; margin:0px !important;"" />"
PE	Parma Eldalamberon	Parma Eldalamberon		"<a href=""http://www.eldalamberon.com/parma12.html"">PE</a>"
VT	Vinyar Tengwar	Vinyar Tengwar	A&C	"<a href=""http://www.elvish.org/VT/index.html"">VT</a>"
GL	Gnomish Lexicon	" The “Gnomish Lexicon”, in Parma Eldalamberon 11."		"<a href=""http://www.eldalamberon.com/parma12.html"">GL</a>"
QL	Qenya Lexicon	" The “Qenya Lexicon”, in Parma Eldalamberon 12."		"<a href=""http://www.eldalamberon.com/parma12.html"">QL</a>"
PME	Poetic and Mythologic Words of Eldarissa	" The “Poetic and Mythologic Words of Eldarissa”, in Parma Eldalamberon 12."		"<a href=""http://www.eldalamberon.com/parma12.html"">PME</a>"
Lex.	The Lexicon			"<a href=""http://www.amazon.com/gp/product/0395409276?ie=UTF8&tag=middlearthm0f-20&linkCode=as2&camp=1789&creative=390957&creativeASIN=0395409276"">Lex.</a><img src=""http://www.assoc-amazon.com/e/ir?t=middlearthm0f-20&l=as2&o=1&a=0395409276"" width=""1"" height=""1"" border=""0"" alt="""" style=""border:none !important; margin:0px !important;"" />"
Etym.	The Etymologies			"<a href=""http://www.amazon.com/gp/product/0261102257?ie=UTF8&tag=middlearthm0f-20&linkCode=as2&camp=1789&creative=390957&creativeASIN=0261102257"">Etym.</a><img src=""http://www.assoc-amazon.com/e/ir?t=middlearthm0f-20&l=as2&o=1&a=0261102257"" width=""1"" height=""1"" border=""0"" alt="""" style=""border:none !important; margin:0px !important;"" />"
A&C	Addenda and Corrigenda to the Etymologies	" The “Addenda and Corrigenda to the Etymologies”, in Vinyar Tengwar 45 and 46."		"<a href=""http://www.elvish.org/VT/index.html"">VT45,56/A&amp;C</a>"
OED	 Oxford English Dictionary	 Oxford English Dictionary		"<a href=""http://www.amazon.com/gp/product/0199548412?ie=UTF8&tag=middlearthm0f-20&linkCode=as2&camp=1789&creative=390957&creativeASIN=0199548412"">OED</a><img src=""http://www.assoc-amazon.com/e/ir?t=middlearthm0f-20&l=as2&o=1&a=0199548412"" width=""1"" height=""1"" border=""0"" alt="""" style=""border:none !important; margin:0px !important;"" />"
Hde1	"Hobbit - German, Carroux"	Der kleine Hobbit - Margaret Carroux translation		"<a href=""http://www.amazon.de/kleine-Hobbit-J-R-R-Tolkien/dp/3423085592/ref=sr_1_4?s=books&ie=UTF8&qid=1291679841&sr=1-4"">Hde1</a>"
Hde2	"Hobbit - German, Scherf"	Der kleine Hobbit - Walter Scherf translation		"<a href=""http://www.amazon.de/kleine-Hobbit-J-R-R-Tolkien/dp/3423085592/ref=sr_1_4?s=books&ie=UTF8&qid=1291679841&sr=1-4"">Hde2</a>"
LRde	The Lord of the Rings - German	Der Herr der Ringe - Margaret Carroux translation		"<a href=""http://www.amazon.de/Herr-Ringe-J-R-Tolkien/dp/360895855X/ref=sr_1_138?s=books&ie=UTF8&qid=1291680983&sr=1-138"">LRde</a>"
Rde	The Road Goes Ever On	The Road Goes Ever On. Der Tolkien Liederzyklus		"<a href=""http://www.amazon.de/Road-Goes-Ever-Tolkien-Liederzyklus/dp/3929174936/ref=sr_1_243?s=books&ie=UTF8&qid=1291682158&sr=1-243"">Rde</a>"
Sde	The Silmarillion - German	Das Silmarillion (Not the Walfgang Krege Translation)		"<a href=""http://www.amazon.de/Silmarillion-John-Ronald-Reuel-Tolkien/dp/3608875204/ref=sr_1_179?s=books&ie=UTF8&qid=1291681893&sr=1-179"">Sde</a>"
UTde	Unfinished Tales - German	Nachrichten aus Mittelerde - Hans J. Schütz transation		"<a href=""http://www.amazon.de/Nachrichten-aus-Mittelerde-John-Tolkien/dp/3608932461/ref=sr_1_3?s=books&ie=UTF8&qid=1291679841&sr=1-3"">UTde</a>"
Lde	The Letters of J.R.R. Tolkien - German	Briefe - Wolfgang Krege translation		"<a href=""http://www.amazon.de/Briefe-John-R-Tolkien/dp/3608936505/ref=sr_1_49?s=books&ie=UTF8&qid=1291680763&sr=1-49"">Lde</a>"
Ide	"The Book of Lost Tales, Part One - German"	Das Buch der Verschollenen Geschichten: Teil 1 - Hans J. Schütz transation		"<a href=""http://www.amazon.de/Das-Buch-Verschollenen-Geschichten-Hobbit/dp/3608930612/ref=sr_1_40?s=books&ie=UTF8&qid=1291680338&sr=1-40"">Ide</a>"
IIde	"The Book of Lost Tales, Part Two - German"	Das Buch der Verschollenen Geschichten: Teil 2 - Hans J. Schütz transation		"<a href=""http://www.amazon.de/Buch-Verschollenen-Geschichten-Hobbit-Presse/dp/3608930620/ref=sr_1_48?s=books&ie=UTF8&qid=1291680338&sr=1-48"">Ide</a>"