Canonical,Language,Letters,Mode,Last Modified
cardolan,Unknown,Tengwar,General Use,1278991286
eastfold,English,Tengwar,General Use,1278991205
lhun,Sindarin,Tengwar,General Use,1278655778
tharbad,Unknown,Tengwar,General Use,1278655748
carn-dum,Unknown,Tengwar,General Use,1278655694
eilenach,English,Tengwar,General Use,1278655466
lossarnach,Sindarin,Tengwar,General Use,1278655336
lamedon,Unknown,Tengwar,General Use,1278655273
gundabad,Khuzdul,Tengwar,General Use,1278655073
edoras,English,Tengwar,General Use,1278655016
men-harad,Sindarin,Tengwar,General Use,1278654577
lo-edrein,Sindarin,Tengwar,General Use,1278654086
emyn-nim,Sindarin,Tengwar,General Use,1278653617
ardhon-iaur-arnor,Sindarin,Tengwar,General Use,1278573008
emyn-lasgalen,Sindarin,Tengwar,General Use,1278569253
calenrath,Sindarin,Tengwar,General Use,1278569221
amon-sul,Sindarin,Tengwar,General Use,1278569197
emyn-sul,Sindarin,Tengwar,General Use,1278569176
serni,Sindarin,Tengwar,General Use,1278569152
iorost,Sindarin,Tengwar,General Use,1278569117
amon-lhaw,Sindarin,Tengwar,General Use,1278569088
emyn-harad,Sindarin,Tengwar,General Use,1278569053
emyn-ring,Sindarin,Tengwar,General Use,1278569028
rhosgobel,Sindarin,Tengwar,General Use,1278569005
sarngebir,Sindarin,Tengwar,General Use,1278568980
sirith,Sindarin,Tengwar,General Use,1278568951
sarnathrad,Sindarin,Tengwar,General Use,1278568923
sir-angren,Sindarin,Tengwar,General Use,1278568885
eryn-uireb,Sindarin,Tengwar,General Use,1278568834
ennyn-moria,Sindarin,Tengwar,General Use,1278568795
lefnui,Sindarin,Tengwar,General Use,1278568744
eryn-druadan,Sindarin,Tengwar,General Use,1278568451
beorn,English,Tengwar,General Use,1278568421
andnen,Sindarin,Tengwar,General Use,1278568394
andlo,Sindarin,Tengwar,General Use,1278568367
annon-caradhras,Sindarin,Tengwar,General Use,1278568336
perth-ninglor,Sindarin,Tengwar,General Use,1278568281
hartofn,Sindarin,Tengwar,General Use,1278382874
fortofn,Sindarin,Tengwar,General Use,1278382838
haudh-in-gwanur,Sindarin,Tengwar,General Use,1278382803
gwathlo,Sindarin,Tengwar,General Use,1278382756
gwaith-thranduil,Sindarin,Tengwar,General Use,1278382711
nen-cenedril,Sindarin,Tengwar,General Use,1278382658
irensaga,English,Tengwar,General Use,1278382615
athrad-onodlo,Sindarin,Tengwar,General Use,1278382521
loeg-ningloron,Sindarin,Tengwar,General Use,1278382381
ethraid-erui,Sindarin,Tengwar,General Use,1278382246
emyn-angren,Sindarin,Tengwar,General Use,1278382196
ered-angmar,Sindarin,Tengwar,General Use,1278381967
nin-in-eilph,Sindarin,Tengwar,General Use,1278381905
emyn-formen,Sindarin,Tengwar,General Use,1278381847
emyn-haeron,Sindarin,Tengwar,General Use,1278381777
emyn-beraid,Sindarin,Tengwar,General Use,1278381735
caradhras,Sindarin,Tengwar,General Use,1278381704
achad-tarlang,Sindarin,Tengwar,General Use,1278381674
imlad-thol,Sindarin,Tengwar,General Use,1278381591
dol-guldur,Sindarin,Tengwar,General Use,1278381407
barannorath,Sindarin,Tengwar,General Use,1278381368
belegaer,Sindarin,Tengwar,General Use,1278381338
mordor,Sindarin,Tengwar,General Use,1278381299
dol-amroth,Sindarin,Tengwar,General Use,1278381267
erech,Sindarin,Tengwar,General Use,1278381235
erynduin,Sindarin,Tengwar,General Use,1278381211
erynrad,Sindarin,Tengwar,General Use,1278381175
annon-eryn,Sindarin,Tengwar,General Use,1278381139
amon-hen,Sindarin,Tengwar,General Use,1278381073
tol-brandir,Sindarin,Tengwar,General Use,1278381043
anduin,Sindarin,Tengwar,General Use,1278380980
orodruin,Sindarin,Tengwar,General Use,1278380947
sir-celos,Sindarin,Tengwar,General Use,1278380901
eregion,Sindarin,Tengwar,General Use,1278380783
west-emnet,English,Tengwar,General Use,1278380740
westfold,English,Tengwar,General Use,1278380701
nurn,Sindarin,Tengwar,General Use,1278380554
ennorath,Sindarin,Tengwar,General Use,1278380499
pinnath-gelin,Sindarin,Tengwar,General Use,1278270058
calembel,Sindarin,Tengwar,General Use,1278267609
cof-belfalas,Sindarin,Tengwar,General Use,1278267543
dunharrow,English,Tengwar,General Use,1278266931
andeithel,Sindarin,Tengwar,General Use,1278207935
erelas,Sindarin,Tengwar,General Use,1278202366
calenhad,Sindarin,Tengwar,General Use,1278202043
ephel-duath,Sindarin,Tengwar,General Use,1278195987
men-eryn-iaur,Sindarin,Tengwar,General Use,1278195777
esgaroth,Sindarin,Tengwar,General Use,1278195270
umbar,Sindarin,Tengwar,General Use,1278195071
maegond,Sindarin,Tengwar,General Use,1278195045
bruinen,Sindarin,Tengwar,General Use,1278195014
harnen,Sindarin,Tengwar,General Use,1278194988
harlond,Sindarin,Tengwar,General Use,1278194960
forlond,Sindarin,Tengwar,General Use,1278194941
imladnur,Sindarin,Tengwar,General Use,1278194879
losstoben,Sindarin,Tengwar,General Use,1278194841
mithnen,Sindarin,Tengwar,General Use,1278194811
barandor,Sindarin,Tengwar,General Use,1278194771
glanduin,Sindarin,Tengwar,General Use,1278194735
nanduhirion,Sindarin,Tengwar,General Use,1278194601
harlindon,Sindarin,Tengwar,General Use,1278194568
forlindon,Sindarin,Tengwar,General Use,1278194546
adorn,Sindarin,Tengwar,General Use,1278194368
erebor,Sindarin,Tengwar,General Use,1278194339
ered-lithui,Sindarin,Tengwar,General Use,1278194306
eryn-vorn,Sindarin,Tengwar,General Use,1278194233
linhir,Sindarin,Tengwar,General Use,1278193928
gorgoroth,Sindarin,Tengwar,General Use,1278193874
ethraid-poros,Sindarin,Tengwar,General Use,1278193825
cof-lhun,Sindarin,Tengwar,General Use,1278193787
mithlond,Sindarin,Tengwar,General Use,1278193755
onodlo,Sindarin,Tengwar,General Use,1278193729
lothlorien,Sindarin,Tengwar,General Use,1278193698
glanhir,Sindarin,Tengwar,General Use,1278193670
imlad,Sindarin,Tengwar,General Use,1278193591
ethring,Sindarin,Tengwar,General Use,1278193558
fangorn,Sindarin,Tengwar,General Use,1278193527
elostirion,Sindarin,Tengwar,General Use,1278193471
carach-angren,Sindarin,Tengwar,General Use,1278193438
barad-durin,Sindarin,Tengwar,General Use,1278193307
dorwinion,Sindarin,Tengwar,General Use,1278193040
celduin,Sindarin,Tengwar,General Use,1278193006
gilrain,Sindarin,Tengwar,General Use,1278192979
erui,Sindarin,Tengwar,General Use,1278192919
fornost-erain,Sindarin,Tengwar,General Use,1278192858
celebrant,Sindarin,Tengwar,General Use,1278192751
parth-celebrant,Sindarin,Tengwar,General Use,1278192719
talf-tharn,Sindarin,Tengwar,General Use,1278192676
nimrodel,Sindarin,Tengwar,General Use,1278192647
iant-vedui,Sindarin,Tengwar,General Use,1278192590
athrad-imladris,Sindarin,Tengwar,General Use,1278192556
imladris,Sindarin,Tengwar,General Use,1278192516
sir-ninglor,Sindarin,Tengwar,General Use,1278192444
lond-umbar,Sindarin,Tengwar,General Use,1278192353
amon-lanc,Sindarin,Tengwar,General Use,1278192136
aglarond,Sindarin,Tengwar,General Use,1278192004
rhunaer,Sindarin,Tengwar,General Use,1278191943
carnen,Sindarin,Tengwar,General Use,1278191908
ethir-onodlo,Sindarin,Tengwar,General Use,1278191868
eryn-firien,Sindarin,Tengwar,General Use,1278191691
moria,Sindarin,Tengwar,General Use,1278191655
ered-moria,Sindarin,Tengwar,General Use,1278191618
cair-andros,Sindarin,Tengwar,General Use,1278191526
cirith-gorgor,Sindarin,Tengwar,General Use,1278191472
cirith-ungol,Sindarin,Tengwar,General Use,1278191437
barad-dur,Sindarin,Tengwar,General Use,1278191389
morigost,Sindarin,Tengwar,General Use,1278191356
mornorod,Sindarin,Tengwar,General Use,1278191328
ost-in-edhil,Sindarin,Tengwar,General Use,1278191201
lithlad,Sindarin,Tengwar,General Use,1278191119
durthang,Sindarin,Tengwar,General Use,1278191089
orthanc,Sindarin,Tengwar,General Use,1278191048
orod-gram,Sindarin,Tengwar,General Use,1278191005
eryn-morn,Sindarin,Tengwar,General Use,1278190879
udun,Sindarin,Tengwar,General Use,1278190729
narchost,Sindarin,Tengwar,General Use,1278190412
carchost,Sindarin,Tengwar,General Use,1278190368
pendlanthir,Sindarin,Tengwar,General Use,1278190333
cerin-amroth,Sindarin,Tengwar,General Use,1278190292
caras-galdhon,Sindarin,Tengwar,General Use,1278190235
amon-craban,Sindarin,Tengwar,General Use,1278189467
parth-galen,Sindarin,Tengwar,General Use,1278189428
arcirith,Sindarin,Tengwar,General Use,1278189389
rhunnag,Sindarin,Tengwar,General Use,1278189355
uanlo,Sindarin,Tengwar,General Use,1278189272
ered-mithrin,Sindarin,Tengwar,General Use,1278138269
morthond,Sindarin,Tengwar,General Use,1277965775
ciril,Sindarin,Tengwar,General Use,1277965698
ringlo,Sindarin,Tengwar,General Use,1277965675
poros,Sindarin,Tengwar,General Use,1277965624
lo-fern,Sindarin,Tengwar,General Use,1277965593
nen-hithoel,Sindarin,Tengwar,General Use,1277965567
lanthir-rauros,Sindarin,Tengwar,General Use,1277965536
nindalf,Sindarin,Tengwar,General Use,1277965499
ethir-anduin,Sindarin,Tengwar,General Use,1277965464
nardol,Sindarin,Tengwar,General Use,1277965394
amon-din,Sindarin,Tengwar,General Use,1277965365
harithilien,Sindarin,Tengwar,General Use,1277965191
forithilien,Sindarin,Tengwar,General Use,1277965153
dagorlad,Sindarin,Tengwar,General Use,1277965076
harondor,Sindarin,Tengwar,General Use,1277965004
belfalas,Sindarin,Tengwar,General Use,1277964938
anfalas,Sindarin,Tengwar,General Use,1277964836
pelennor,Sindarin,Tengwar,General Use,1277964787
anorien,Sindarin,Tengwar,General Use,1277964740
dor-en-ernil,Sindarin,Tengwar,General Use,1277885093
lebennin,Sindarin,Tengwar,General Use,1277885062
druwaith-iaur,Sindarin,Tengwar,General Use,1277885030
min-rimmon,Sindarin,Tengwar,General Use,1277885000
mindolluin,Sindarin,Tengwar,General Use,1277884972
amon-anwar,Sindarin,Tengwar,General Use,1277884895
pelargir,Sindarin,Tengwar,General Use,1277884805
argonath,Sindarin,Tengwar,General Use,1277884775
tolfalas,Sindarin,Tengwar,General Use,1277884723
emyn-arnen,Sindarin,Tengwar,General Use,1277884693
emyn-muil,Sindarin,Tengwar,General Use,1277884657
khand,Unknown,Tengwar,General Use,1277877115
lond-daer,Sindarin,Tengwar,General Use,1277877021
edhellond,Sindarin,Tengwar,General Use,1277876989
minas-morgul,Sindarin,Tengwar,General Use,1277876957
minas-tirith,Sindarin,Tengwar,General Use,1277876917
osgiliath,Sindarin,Tengwar,General Use,1277876879
morannon,Sindarin,Tengwar,General Use,1277876844
rath-harad-iaur,Sindarin,Tengwar,General Use,1277876809
athrad-iaur,Sindarin,Tengwar,General Use,1277876599
angrenost,Sindarin,Tengwar,General Use,1277876433
eryn-lasgalen,Sindarin,Tengwar,General Use,1277876202
hithaeglir,Sindarin,Tengwar,General Use,1277876154
arthedain,Sindarin,Tengwar,General Use,1277876083
forochel,Sindarin,Tengwar,General Use,1277695650
mitheithel,Sindarin,Tengwar,General Use,1277695617
baranduin,Sindarin,Tengwar,General Use,1277695593
annuminas,Sindarin,Tengwar,General Use,1277695535
men-daer-rhun-annui,Sindarin,Tengwar,General Use,1277695504
andrath,Sindarin,Tengwar,General Use,1277695409
lo,Sindarin,Tengwar,General Use,1277695015
nenuial,Sindarin,Tengwar,General Use,1277694949
in-emyn,Sindarin,Tengwar,General Use,1277694868
eryn-ost,Sindarin,Tengwar,General Use,1277694838
emyn-uial,Sindarin,Tengwar,General Use,1277694786
nurnen,Sindarin,Tengwar,General Use,1277694656
haradwaith,Sindarin,Tengwar,General Use,1277694611
angmar,Sindarin,Tengwar,General Use,1277686976
athrad-angren,Sindarin,Tengwar,General Use,1277686922
the-wold,English,Tengwar,General Use,1277685931
rhun,Sindarin,Tengwar,General Use,1277685771
rhudaur,Sindarin,Tengwar,General Use,1277685739
rhovanion,Sindarin,Tengwar,General Use,1277685698
minhiriath,Sindarin,Tengwar,General Use,1277685585
methedras,Sindarin,Tengwar,General Use,1277685464
i-drann,Sindarin,Tengwar,General Use,1277685323
himling,Sindarin,Tengwar,General Use,1277685237
gondor,Sindarin,Tengwar,General Use,1277685162
forodwaith,Sindarin,Tengwar,General Use,1277685061
folde,English,Tengwar,General Use,1277684967
fanuidhol,Sindarin,Tengwar,General Use,1277684879
eryn-teryg,Sindarin,Tengwar,General Use,1277684843
eryn-iaur,Sindarin,Tengwar,General Use,1277684801
eriador,Sindarin,Tengwar,General Use,1277684767
ered-nimrais,Sindarin,Tengwar,General Use,1277684695
ered-lindon,Sindarin,Tengwar,General Use,1277684525
enedhwaith,Sindarin,Tengwar,General Use,1277684423
east-emnet,English,Tengwar,General Use,1277684277
celebdil,Sindarin,Tengwar,General Use,1277684229
calenardhon,Sindarin,Tengwar,General Use,1277683077
bree,English,Tengwar,General Use,1277683019
baranduiniant,Sindarin,Tengwar,General Use,1277682871
