Canonical,English [Westron] {Rohirric},Sindarin [Ñoldorin] {Unknown/Other},Quenya [Khuzdul],Scale,Parent,Type,Icon,I page,S page,S,SL,L page,L,LL,Outstanding Issues,Location
pendlanthir-s,Stair Falls,Pendlanthir*,,6,Minhiriath,Water,RE,,"54,",X,1,45,X,6,redraw the region at high detail,"The river Sirannon, after the dam at the gate, that formed the pool of the watcher in the water lived"
argirith-s,High Pass,Argirith*,,5,Hithaiglir?,Location,TODO,,"56,76,",X,1,30,X,6
fangorn-s,Treebeard's Forest,Fangorn (beard oak),,5,Rhovanion,Forest,TODO,,"42,",X,1,34,X,4
harlond-s,South Harbor,Harlond,,5,Gondor,City/Haven,TODO,,"27,",X,1,23,X,5,,Southern Harbor of Minas Tirith
cair-andros-s,Ship of Long foam,Cair Andros,,5,Ithilien,City/Fortress,TODO,,"37,57",X,1,30,X,5
minas-tirith-s,Tower of the Guard,Minas Tirith,,6,Gondor,City/Fortress,TODO,,"25,",X,1,42,X,5
loeg-ningloron-s,Resting place of the Ring,Loeg Ningloron,,5,Rhovanion,Region,TODO,,"43,67",X,1,35,X,6,_oe_ should be spelled with <yanta> + o-tehta
dunharrow-e,Dunharrow,,,5,Rohan,Location,TODO,,"47,",X,1,38,X,6,,"On a cliff, path to paths of the dead, overlooking Harrowdale"
aglarond-s,Glittering Caves {Súthburg},Aglarond,,6,Deeping Coomb,Location/Cave,TODO,,"50,50",X,1,41,X,6
haudh-in-gwanur-s,Tomb of the Twins,Haudh-In-Gwanûr,,6,Gondor,Location,TODO,,"51,69",X,1,43,X,6
annon-caradhras-s,Redhorn Gate,Annon Caradhras*,,6,,,TODO,,"74,",X,1,47,X,6
pelennor-s,Fields of Pelennor (Fenced field of Middle-earth*),Pelennor,,5,Gondor,Region,TODO,,"32,",X,1,26,X,7
amon-craban-s,Ravenhill,Amon Craban*,,6,Erebor,Hills,TODO,,"55,",X,1,41,X,8,,A hill overlooking the river running on Erebor
athrad-iaur-s,Old Ford,Athrad Iaur,,5,Eriador,Crossing,X,,"17,",X,1,19,X,5
harlond-s,South Haven,Harlond,,5,Lhûn,City/Haven,X,,"5,39",X,1,32,X,5,,Lindon
athrad-onodlo-s,Entwade,Athrad Onodló*,,5,Rohan,Water/River,X,,"48,67,",X,1,39,X,5
ethraid-erui-s,Crossings of Erui (Lone Crossings),Ethraid Erui*,,5,Gondor,Crossing,X,,"27,66",X,1,24,X,6
ethring-s,Ethring (Cold Crossing),Ethring,,5,Gondor,Crossing,X,,"27,",X,1,24,X,6,,A town near the head of the Ringló Vale
barad-durin-s,Durin's Tower,Barad Durin*,,6,Celebdil,Location,X,,"50,",X,1,40,X,6,,On Celebdil
ost-in-edhil-s,,Ost-in-Edhil,,6,Eregion,City,X,,"51,",X,1,48,X,6,,"A ruined city in Eregion, Hollin"
dol-amroth-s,Tower of Amroth,Dol Amroth,,6,,,X,,"63,",X,1,47,X,6,,Gondor's Coast
upbourn-e,Upbourn,,,6,Harrowdale,City/Town,X,,,,,43,X,6,,Hamlet on the banks of the Snowbourn in the valley of Harrowdale
ethraid-angren-s,Fords of Isen,Ethraid Angren,,5,Angren,Crossing,X,,"14,23",X,1,"9,18",X,5,athrad/ethraid review
caras-perian-s,Hobbiton,Caras Perian*,,6,i Dran,City/Town,X,,"37,75",X,1,44,X,5
annuminas-s,West Tower,Annúminas,,6,Eriador,Structure,X,,"3,21,77",X,1,41,X,6,,North of the Shire
carag-s,Carrock,Carag,,6,Rhovanion,Location,X,,"53,77",X,1,46,X,6
baranduiniant-s,Brandywine Bridge,Baranduiniant,,5,Eriador,Bridge,X,,"16,77",X,1,19,X,6,Should the i in iant be yanta here?
bree-e,Bree,X,,5,Eriador,City,X,,"16,",X,1,19,X,5
fornost-erain-s,North Fortress (Norbury) of the Kings*,Fornost Erain,,5,Eriador,City/Fortress,X,,"3,16,49,",X,1,19,X,5,,Ancient Capital of Arnor
sarnathrad-s,Sarn Ford (Stone Ford),Sarnathrad (LR430),Sarno-?,5,Eriador,Crossing,X,,"4,16,24,72",X,1,19,X,5,silme nuquerna/silme
amon-sul-s,Weathertop,Amon Sûl,,5,Eriador,Hill,X,,"17,24,72",X,1,20,X,5,silme nuquerna/silme
rhosgobel-s,,Rhosgobel,,5,Eryn Lasgalen,,X,,"72,",X,1,23,X,5,,"Settlement of Radagast the Brown, opposite the east bight of Mirkwood"
morannon-s,Black Gate,Morannon,,5,Girith Gorgor,Location,X,,"25,",X,1,23,X,5
edhellond-s,Elfhaven,Edhellond,Eldalonde*,5,Gondor,City/Haven,X,,"26,",X,1,23,X,5,,End of the Ringló River
pelargir-s,Royal Shipyard*,Pelargir,,5,Gondor,City/Haven,X,,"26,28",X,1,24,X,5
amon-anwar-s,Halifirien (Mtn|Hill w/ Beacon),"Amon Anwar (""hill of awe"")",,5,Gondor,Hill,X,,"28,",X,1,25,X,5,,mountain overlooking the firien wood
eilenach-e,Eilenach (Beacon),,,5,Gondor,Hill,X,,"28,",X,1,25,X,5,,"Amid Druadan forest, highest peak"
min-rimmon-s,Min-Rimmon (Beacon),Min-Rimmon,,5,Gondor,Mountain,X,,"30,",X,1,26,X,5,,Highest of a set of peaks called the Rimmon
lond-umbar-s,Haven of Umbar,Lond Umbar*,,5,Harad,City/Haven,X,,"35,",X,1,29,X,5
gwaith-thranduil-s,Wood Elves / Thranduil's Realm,Galadhrim / Gwaith Thranduil,,5,Lasgalen,Region,X,,"37,57,68",X,1,31,X,5
forlond-s,North Haven,Forlond,,5,Lhûn,City/Haven,X,,"5,39",X,1,32,X,5,,Lindon
mithlond-s,Grey Havens,Mithlond,,5,Lhûn,City/Haven,X,,"5,38",X,1,32,X,5,,Lindon
orodruin-s,Mount Doom,Orodruin,,5,Mordor,Mountain,X,,"61,",X,1,33,X,5
imlad-s,Dale,Imlad*,,5,Rhovanion,City,X,,"42,",X,1,34,X,5,,"Erebor area, Rhovanion"
imladris-s,Rivendell (Ravine Valley),Imladris,,5,Rhudaur,City/Town,X,,"2,45",X,1,36,X,5,,"Rhudaur, Arnor, Eriador"
edoras-e,Edoras,,,5,Rohan,City/Fortress,X,,"46,",X,1,38,X,5
beorn-e,Beorn,,,5,,,X,,"74,",X,1,40,X,5
erech-s,Erech,,,5,,,X,,"63,",X,1,40,X,5
minas-morgul-s,Tower of Sorcery,Minas Morgul,,6,Gondor,City/Fortress,X,,"26,",X,1,42,X,5
amon-din-s,(Silent Hill (Beacon)),Amon Dîn,,6,Gondor,Structure,X,,"33,",X,1,43,X,5
calenhad-s,Calenhad (Beacon),Calenhad,,6,Gondor,Structure,X,,"33,",X,1,43,X,5
erelas-s,Erelas (Beacon),{Erelas},,6,Gondor,Structure,X,,"33,",X,1,43,X,5
ethraid-poros-s,Crossings of Poros,Ethraid Poros*,,5,Gondor,Crossing,X,,"27,",X,1,24,X,6
argonath-s,Gate of Kings / Pillars of the Kings,Argonath,,5,Gondor,Location,X,,"29,",X,1,25,X,6
esgaroth-s,Lake Town,Esgaroth,,5,Rhovanion,City/Town,X,,"42,",X,1,34,X,6,,On the long lake
athrad-imladris-s,Ford of Rivendell,Athrad Imladris*,,5,Rhudaur,Crossing,X,,"45,",X,1,36,X,6
iant-vedui-s,The Last Bridge,Iant Vedui*,,5,Rhudaur,Location,X,,"45,",X,1,37,X,6
orthanc-s,,Orthanc,,6,Isengard,Structure/Tower,X,,"52,",X,1,44,X,6
iorost-s,{Aldburg} {Hornburg} (Old Fortress),Iorost*,,5,Rohan,City/Fortress,X,,"46,71",X,1,37,X,7,_Iorhael_ < _iaur-hael_,"Folde, southeast of edoras, a fortified settlement"
barad-dur-s,Dark Tower,Barad Dûr,,5,Mordor,City/Fortress,X (eye),,"40,",X,1,33,X,5
carach-angren-s,Isenmouthe (Iron Jaws),Carach Angren,,5,Mordor,Region,,,"41,",X,1,34,X,6
enedwaith-s,Middle-Region or Middle-folk,Enedwaith,,3,Eriador,Region,,,"3,11",RE,1,"6,13",X,3,s/enedh/ened/
barannor-s,Dunland,Barannor*,,5,Minhiriath,Region,,,"39,",RE,1,33,X,4,barandor/barannor
ered-lasgalen-s,Mountains of Mirkwood,Ered Lasgalen,,5,Lasgalen,Mountains,,,"12,",RE,1,30,X,5,s/emyn/ered,aka Emyn nu Fuin
east-bight-e,East Bight,Rhúnnag*,Romen? ?,5,Lasgalen,Region,,,"56,",RE,1,31,X,5,bight - loop
uanlo-s,Ettenmoors,Úanló*,,5,Rhudaur,Region,,,"56,",RE,1,37,X,5
i-drann-s,"The Shire [Sûzat, Sûza]",i Drann,,4,Eriador,Nation,,,"11,75",X,1,"7,16",X,4,,VT #31 pp21-22
lefnui-s,,Lefnui,,5,Gondor,River,,,"73,76,",X,1,27,X,5,,transliterated as levnui
cil-rohan-s,Gap of Rohan,Cîl Rohan*,,5,Rohan,Location,,,"47,75",X,1,38,X,5
menion-annui-s,Great West Road,Menion Annui*,,5,Rohan,Road,,,"47,76,",X,1,38,X,5
lossir-s,Snowbourn,Lossir,,5,Rohan,Water/River,,,"48,77",X,1,39,X,5
forochel-s,Ice Bay of Forochel (Northern Ice),Forochel,,4,Forodwaith,Sea,,,"5,21",X,3,23,X,4
lossarnach-s,(Flower-Arnach),Lossarnach,,5,Gondor,Location,,,"29,76,",X,4,25,X,5
limlight-e,Limlight (River),,,5,Rhovanion,Water/River,,,"77,",X,,36,X,5
imrath-gondraich-s,Stonewain Valley,Imrath Gondraich ,,5,Gondor,Region,,,"32,66,76",X,,27,X,6
rudhras-s,Starkhorn,Rudhras*,,6,Ered Wethrin,Mountain,,,"50,67,78",X,1,41,X,5,Would rûdh + ras = rudhras?,A peak in the White Mountains from which the Snowbourn issued
nurn-s,,Nurn,,3,Mordor,Region,,,"60,",X,3,"7,14",X,3,no acute on nurn
folde-e,Folde,,?,4,Rohan,Region,,,"13,",X,4,"9,17",X,4
west-emnet-e,West Emnet,,,4,Rohan,Region,,,"60,",X,1,"9,17",X,4
men-rhun-annui-s,East/West Road,Men Rhún-annui*,,5,Eriador,Road,,,"21,75",X,5,22,X,5
sarn-gebir-s,Stoneridge*,Sarn Gebir,,6,Nen Hithoel,Region,,,"53,72",X,6,46,X,6,s/sarngebir/sarn-gebir,A hilly area just west of the Falls of Rauros on the river Anduin.
lhun-s,River Lune,[Lhûn],,4,Ennorath,Reiver,,,"5,11",X,4,"7,16",X,4,not placed on map in sindarin,Lindon
gondor-s,Stoneland*,Gondor,Ondonóre,1,Ennorath,Nation,,,"6,8",X,1,"4,12",X,1
mordor-s,(Dark Land*),Mordor,,1,Ennorath,Nation,,,"6,8,9,15,64",X,1,"4,12",X,1
eriador-s,Lone-lands,Eriador,,1,Ennorath,Region,,,"4,6,8",X,1,"4,12",X,1
forodwaith-s,Northern Waste,Forodwaith,,1,Ennorath,Region,,,"6,8,9",X,1,"4,12",X,1
haradwaith-s,Sutherland,Haradwaith,,1,Ennorath,Region,,,"6,8,18",X,1,"4,12",X,1
rhovanion-s,Wilderland,Rhovanion,,1,Ennorath,Region,,,"6,8",X,1,"4,12",X,1
rhun-s,East,Rhûn,,1,Ennorath,Region,,,"6,8",X,1,"4,12",X,1
belegaer-s,Great Sea*,Belegaer,,1,,Sea,,,"14,64,",X,1,"5,13",X,1
calenardhon-s,Rohan,Calenardhon (obsolete name),,2,Ennorath,Nation,,,"6,8,9,12",X,1,"4,12",X,2
ardhon-iaur-arnor-s,Lost Realm of Arnor,Ardhon Iaur Arnor,,2,Eriador,Region,,,"2,11,71",X,1,"5,13",X,2,,Eriador
cof-belfalas-s,Bay of Belfalas (Greatshore),Côf Belfalas,,2,Gondor,Sea/Bay,,,"33,",X,1,"5,13",X,2
arthedain-s,Realm of Men,Arthedain,,3,Arnor,Nation,,,"1,11,22",X,1,"5,13",X,3,,Arnor
rhudaur-s,East Forest,Rhudaur,,3,Arnor,Nation,,,"10,",X,1,"5,12",X,3,,Lost Realm of Arnor
cardolan-u,,{Cardolan},,3,Arnor,Region,,,"10,",X,1,"6,13",X,3
minhiriath-s,Between Rivers,Minhiriath,,3,Eriador,Region,,,"3,11",X,1,"6,13",X,3
anorien-s,(Sunland*),Anórien,,3,Gondor,Region,,,"12,32",X,1,"6,14",X,3
forithilien-s,North Ithilien,Forithilien*,,3,Gondor,Region,,,"31,",X,1,"6,14",X,3
harithilien-s,South Ithilien,Harithilien*,,3,Gondor,Region,,,"31,",X,1,"6,14",X,3
lamedon-u,,{Lamedon},,3,Gondor,Region,,,"33,",X,1,"6,14",X,3
lebennin-s,(Five streams*),Lebennin*,,3,Gondor,Region,,,"30,",X,1,27,X,3
angmar-s,(Iron dwelling*),Angmar,,4,Eriador,Nation,,,"11,",X,1,"8,16",X,3
moria-s,Moria (Black chasm),Moria,[Khazad-dûm],4,Hithaiglir,Region,,,"36,",X,1,"8,16",X,3
eryn-lasgalen-s,Mirkwood,Eryn Lasgalen,,4,Rhovanion,Forest,,,"22,",X,1,"8,16",X,3,,"Beeches and Oaks, with Firs on the slopes of the mountains of Mirkwood.  Dark firs around amon lanc"
barannorath-s,The Brown Lands,Barannorath*,,4,Rhovanion,Region,,,"12,64,",X,1,"8,17",X,3
emyn-angren-s,Iron Hills,Emyn Angren*,,4,Rhûn,Mountains,,,"13,",X,1,"9,17",X,3
khand-u,,{Khand},,4,,Region,,,"14,23",X,1,"9,18",X,3,"use extended ""quesse"" instead of khwesta"
eregion-s,Hollin,Eregion,,5,Eriador,Nation,,,"20,60,",X,1,22,X,3
gorgoroth-s,Plateau of Terror,Gorgoroth,,5,Mordor,Region,,,"41,",X,1,34,X,3
harondor-s,South Gondor,Harondor,,3,Gondor,Region,,,"31,",X,1,"6,14",X,3
nurnen-s,Sea of Nurn,Núrnen,,3,Mordor,Sea,,,"12,18",X,1,"7,14",X,4
ered-lindon-s,Blue Mountains,Ered Luin / Ered Lindon,,4,Ennorath,Mountains,,,"5,10",X,1,"7,15",X,4,,Eriador
ered-mithrin-s,Grey Mountains,Ered Mithrin,,4,Ennorath,Mountains,,,"10,",X,1,"7,15",X,4
ered-nimrais-s,White Mountains,Ered Nimrais,,4,Ennorath,Mountains,,,"11,",X,1,"7,15",X,4
hithaeglir-s,Misty Mountains,Hithaeglir,,4,Ennorath,Mountains,,,"10,21",X,1,"7,15",X,4
nindalf-s,Wetwang,Nindalf,,4,Gondor,Water,,,"34,",X,1,"8,16",X,4
lo-fern-s,Dead Marshes,Lô Fern*,,4,Gondor,Water/Marsh,,,"34,",X,1,"8,16",X,4
udun-s,(Deep-hidden*),Udûn (Ñoldorin?),Utumno,4,Mordor,Region,,,"53,12",X,1,"8,16",X,4
talf-tharn-s,Withered Heath,Talf Tharn*,,4,Rhovanion,Mountains,,,"43,",X,1,"8,16",X,4
east-emnet-e,East Emnet,,,4,Rohan,Region,,,"13,",X,1,"9,17",X,4
eastfold-e,Eastfold,,Romen-?,4,Rohan,Region,,,"13,",X,1,"9,17",X,4
the-wold-e,The Wold,,,4,Rohan,Region,,,"13,",X,1,"9,17",X,4
westfold-e,Westfold,,,4,Rohan,Region,,,"60,",X,1,"9,17",X,4,"Verify canon, stardogg map"
ered-angmar-s,Mountains of Angmar,Ered Angmar,,5,Eriador,Mountains,,,"20,25,66",X,1,22,X,4,nwalme has a bar on top
cof-lhun-s,Gulf of Lune,Côf [Lhûn],,5,Lhûn,Water/Sea,,,"1,39",X,1,32,X,4
belfalas-s,Greatshore,Belfalas,,5,Gondor,Region/Beach,,,"32,",X,1,27,X,4,english version got overwritten by cof-belfalas
sir-angren-s,River Isen,Sîr Angren,,5,Angren,Water/River,,,"15,23,72",X,1,18,X,4,silme nuquerna/silme
himling-s,,Himling,,5,Ennorath,Island,,,"5,15",X,1,18,X,4,,Attested on the map at the back of later editions of LOTR
eryn-teryg-s,Trollshaws,Eryn Teryg*,,5,Eriador,Forest,,,"17,",X,1,20,X,4,,Beech trees
baranduin-s,Brandywine (lit. Brown River),Baranduin,,5,Eriador,Water/River,,,"4,21",X,1,22,X,4
mitheithel-s,River Hoarwell (Grey Spring),Mitheithel,,5,Eriador,Water/River,,,"21,",X,1,23,X,4
druwaith-iaur-s,Old Púkel Land,Drúwaith Iaur,,5,Gondor,Region,,,"30,",X,1,26,X,4,,Region west of Gondor
umbar-s,(lit. Doom),,Umbar,5,Harad,City,,,"36,",X,1,29,X,4
forlindon-s,North Lindon,Forlindon,,5,Lhûn,City,,,"38,",X,1,31,X,4,,Lindon
